id;correspondent_name;fax_number;address;telephone_office;telephone_alternate;web_site;port_id
1;Borders Borders Practical;methodical;Pakistan;parse;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;4
2;Frozen Metal program;SDD bypassing;Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary;exploit transition;User-centric Principal Pennsylvania;4
3;bandwidth Buckinghamshire;Oklahoma communities;array supply-chains Advanced;Parkway Handmade Wooden Cheese;quantifying;synthesize Idaho Markets;4
4;asymmetric EXE;web services;Industrial Designer Incredible Fresh Car;Principal Senior;Paraguay;Sleek Tuna magenta;3
5;Orchestrator Naira;Legacy Unbranded Plastic Chips;Unbranded Cotton Table Generic B2B;olive;facilitate Persevering;Fantastic;10
6;Architect;Beauty dynamic schemas;Pound Sterling Keyboard;Licensed Usability models;Personal Loan Account markets;SCSI Aruba Chair;5
7;transmit Ways;Shirt Credit Card Account disintermediate;transmitting Tennessee Practical Steel Shirt;24/7;Refined;haptic Producer Agent;6
8;input Accounts;enhance Multi-channelled purple;Response;white SMTP;Checking Account global Steel;Borders Springs connecting;4
9;connecting Planner Refined;engage Granite Grocery;bluetooth payment digital;Rubber Industrial seamless;withdrawal Jamaica;International;4
10;Berkshire solid state;middleware Switzerland;Data Granite Configuration;compress Practical Steel Chips;Berkshire concept;Illinois robust;6
