id;port_code;port_name;port_name_chinese
1;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon
2;Macao Equatorial Guinea Vision-oriented;Agent;Human deposit
3;even-keeled Saint Helena Pound;Internal AI optical;bypassing Marketing
4;Dynamic Home Loan Account Tools;Branding;Home Gloves Latvia
5;Ports Manager Fish;Networked;Fish
6;payment calculating;local area network Benin;turn-key dedicated
7;Wisconsin;target Human withdrawal;dot-com payment Libyan Dinar
8;white sensor local;calculate;Chips
9;Villages uniform PCI;Automotive Tactics architectures;Wisconsin Facilitator Incredible
10;reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc
